"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","datum_code","base_crs_code","projection_conv_code"
10376,"Santa Cruz da Graciosa depth",6498,NULL,6183,7812
7890,"SHVD2015 height",6499,1177,NULL,NULL
5237,"SLVD height",6499,1054,NULL,NULL
5785,"SNN76 height",6499,5183,NULL,NULL
8691,"SRB_VRS12 height",6499,1216,NULL,NULL
5747,"St. Kilda height",6499,5145,NULL,NULL
5744,"Sule Skerry height",6499,5142,NULL,NULL
5746,"Stornoway height",6499,5144,NULL,NULL
5749,"St. Marys height",6499,5147,NULL,NULL
5772,"Stewart Island 1977 height",6499,5170,NULL,NULL
5779,"SVS2000 height",6499,5177,NULL,NULL
7889,"St. Helena Tritan 2011 height",6499,1176,NULL,NULL
8690,"SVS2010 height",6499,1215,NULL,NULL
9255,"SRVN16 height",6499,1260,NULL,NULL
20000,"SVD2006 height",6499,1323,NULL,NULL
5606,"Tahaa SAU 2001 height",6499,5201,NULL,NULL
5768,"Tararu 1952 height",6499,5166,NULL,NULL
5769,"Taranaki 1970 height",6499,5167,NULL,NULL
9398,"Tenerife height",6499,1281,NULL,NULL
5195,"Trieste height",6499,1050,NULL,NULL
6638,"Tutuila 1962 height",6499,1121,NULL,NULL
8904,"TWVD 2001 height",6499,1224,NULL,NULL
5770,"Wellington 1953 height",6499,5168,NULL,NULL
6642,"VIVD09 height",6499,1124,NULL,NULL
8881,"Vienna height",6499,1267,NULL,NULL
5736,"Yellow Sea 1956 height",6499,5104,NULL,NULL
5737,"Yellow Sea 1985 height",6499,5137,NULL,NULL
10349,"ZH Portugal depth",6498,1361,NULL,NULL
