"coord_ref_sys_code","coord_ref_sys_name","coord_sys_code","base_crs_code","projection_conv_code"
2911,"NAD83(HARN) / Oklahoma North (ftUS)",4497,4152,15349
2912,"NAD83(HARN) / Oklahoma South (ftUS)",4497,4152,15350
2913,"NAD83(HARN) / Oregon North (ft)",4495,4152,15351
2914,"NAD83(HARN) / Oregon South (ft)",4495,4152,15352
2915,"NAD83(HARN) / Tennessee (ftUS)",4497,4152,15356
2916,"NAD83(HARN) / Texas North (ftUS)",4497,4152,15357
2917,"NAD83(HARN) / Texas North Central (ftUS)",4497,4152,15358
2918,"NAD83(HARN) / Texas Central (ftUS)",4497,4152,15359
2919,"NAD83(HARN) / Texas South Central (ftUS)",4497,4152,15360
2920,"NAD83(HARN) / Texas South (ftUS)",4497,4152,15361
2921,"NAD83(HARN) / Utah North (ft)",4495,4152,15362
2922,"NAD83(HARN) / Utah Central (ft)",4495,4152,15363
2923,"NAD83(HARN) / Utah South (ft)",4495,4152,15364
2924,"NAD83(HARN) / Virginia North (ftUS)",4497,4152,15365
2925,"NAD83(HARN) / Virginia South (ftUS)",4497,4152,15366
2926,"NAD83(HARN) / Washington North (ftUS)",4497,4152,15367
2927,"NAD83(HARN) / Washington South (ftUS)",4497,4152,15368
2928,"NAD83(HARN) / Wisconsin North (ftUS)",4497,4152,15369
2929,"NAD83(HARN) / Wisconsin Central (ftUS)",4497,4152,15370
2930,"NAD83(HARN) / Wisconsin South (ftUS)",4497,4152,15371
2931,"Beduaram / TM 13 NE",4499,4213,16413
2932,"QND95 / Qatar National Grid",4400,4614,19919
2933,"Segara / UTM zone 50S",4400,4613,16150
2935,"Pulkovo 1942 / CS63 zone A1",4530,4284,18441
2936,"Pulkovo 1942 / CS63 zone A2",4530,4284,18442
2937,"Pulkovo 1942 / CS63 zone A3",4530,4284,18443
2938,"Pulkovo 1942 / CS63 zone A4",4530,4284,18444
2939,"Pulkovo 1942 / CS63 zone K2",4530,4284,18446
2940,"Pulkovo 1942 / CS63 zone K3",4530,4284,18447
2941,"Pulkovo 1942 / CS63 zone K4",4530,4284,18448
2942,"Porto Santo / UTM zone 28N",4400,4615,16028
2943,"Selvagem Grande / UTM zone 28N",4400,4616,16028
2945,"NAD83(CSRS) / MTM zone 3",4496,4617,17703
2946,"NAD83(CSRS) / MTM zone 4",4496,4617,17704
2947,"NAD83(CSRS) / MTM zone 5",4496,4617,17705
2948,"NAD83(CSRS) / MTM zone 6",4496,4617,17706
2949,"NAD83(CSRS) / MTM zone 7",4496,4617,17707
2950,"NAD83(CSRS) / MTM zone 8",4496,4617,17708
2951,"NAD83(CSRS) / MTM zone 9",4496,4617,17709
2952,"NAD83(CSRS) / MTM zone 10",4496,4617,17710
2953,"NAD83(CSRS) / New Brunswick Stereographic",4500,4617,19946
2954,"NAD83(CSRS) / Prince Edward Isl. Stereographic (NAD83)",4496,4617,19960
2955,"NAD83(CSRS) / UTM zone 11N",4400,4617,16011
2956,"NAD83(CSRS) / UTM zone 12N",4400,4617,16012
2957,"NAD83(CSRS) / UTM zone 13N",4400,4617,16013
2958,"NAD83(CSRS) / UTM zone 17N",4400,4617,16017
2959,"NAD83(CSRS) / UTM zone 18N",4400,4617,16018
2960,"NAD83(CSRS) / UTM zone 19N",4400,4617,16019
2961,"NAD83(CSRS) / UTM zone 20N",4400,4617,16020
2962,"NAD83(CSRS) / UTM zone 21N",4400,4617,16021
2963,"Lisbon 1890 (Lisbon) / Portugal Bonne",6509,4904,19979
2964,"NAD27 / Alaska Albers",4497,4267,15020
2965,"NAD83 / Indiana East (ftUS)",4497,4269,15372
2966,"NAD83 / Indiana West (ftUS)",4497,4269,15373
2967,"NAD83(HARN) / Indiana East (ftUS)",4497,4152,15372
2968,"NAD83(HARN) / Indiana West (ftUS)",4497,4152,15373
2969,"Fort Marigot / UTM zone 20N",4400,4621,16020
2970,"Guadeloupe 1948 / UTM zone 20N",4400,4622,16020
2971,"CSG67 / UTM zone 22N",4400,4623,16022
2972,"RGFG95 / UTM zone 22N",4400,4624,16022
2973,"Martinique 1938 / UTM zone 20N",4400,4625,16020
2975,"RGR92 / UTM zone 40S",4400,4627,16140
2976,"Tahiti 52 / UTM zone 6S",4400,4628,16106
2977,"Tahaa 54 / UTM zone 5S",4400,4629,16105
2978,"IGN72 Nuku Hiva / UTM zone 7S",4400,4630,16107
2980,"Combani 1950 / UTM zone 38S",4400,4632,16138
2981,"IGN56 Lifou / UTM zone 58S",4400,4633,16158
2985,"Petrels 1972 / Terre Adelie Polar Stereographic",1025,4636,19983
2986,"Perroud 1950 / Terre Adelie Polar Stereographic",1025,4637,19983
2987,"Saint Pierre et Miquelon 1950 / UTM zone 21N",4400,4638,16021
2988,"MOP78 / UTM zone 1S",4400,4639,16101
2991,"NAD83 / Oregon LCC (m)",4499,4269,13633
2992,"NAD83 / Oregon GIC Lambert (ft)",4495,4269,15374
2993,"NAD83(HARN) / Oregon LCC (m)",4499,4152,13633
2994,"NAD83(HARN) / Oregon GIC Lambert (ft)",4495,4152,15374
2995,"IGN53 Mare / UTM zone 58S",4400,4641,16158
2996,"ST84 Ile des Pins / UTM zone 58S",4400,4642,16158
2997,"ST71 Belep / UTM zone 58S",4400,4643,16158
2998,"NEA74 Noumea / UTM zone 58S",4400,4644,16158
2999,"Grand Comoros / UTM zone 38S",4400,4646,16138
3000,"Segara / NEIEZ",4499,4613,19905
3001,"Batavia / NEIEZ",4499,4211,19905
3002,"Makassar / NEIEZ",4499,4257,19905
3003,"Monte Mario / Italy zone 1",4499,4265,18121
3004,"Monte Mario / Italy zone 2",4499,4265,18122
3005,"NAD83 / BC Albers",4400,4269,19984
3006,"SWEREF99 TM",4500,4619,17333
3007,"SWEREF99 12 00",4500,4619,17321
3008,"SWEREF99 13 30",4500,4619,17322
3009,"SWEREF99 15 00",4500,4619,17323
3010,"SWEREF99 16 30",4500,4619,17324
3011,"SWEREF99 18 00",4500,4619,17325
3012,"SWEREF99 14 15",4500,4619,17326
3013,"SWEREF99 15 45",4500,4619,17327
3014,"SWEREF99 17 15",4500,4619,17328
3015,"SWEREF99 18 45",4500,4619,17329
3016,"SWEREF99 20 15",4500,4619,17330
3017,"SWEREF99 21 45",4500,4619,17331
3018,"SWEREF99 23 15",4500,4619,17332
3019,"RT90 7.5 gon V",4530,4124,17334
3020,"RT90 5 gon V",4530,4124,17335
3021,"RT90 2.5 gon V",4530,4124,19929
3022,"RT90 0 gon",4530,4124,17336
3023,"RT90 2.5 gon O",4530,4124,17337
3024,"RT90 5 gon O",4530,4124,17338
3025,"RT38 7.5 gon V",4530,4308,17334
3026,"RT38 5 gon V",4530,4308,17335
3027,"RT38 2.5 gon V",4530,4308,19929
3028,"RT38 0 gon",4530,4308,17336
3029,"RT38 2.5 gon O",4530,4308,17337
3030,"RT38 5 gon O",4530,4308,17338
3031,"WGS 84 / Antarctic Polar Stereographic",4490,4326,19992
3032,"WGS 84 / Australian Antarctic Polar Stereographic",4489,4326,19993
3033,"WGS 84 / Australian Antarctic Lambert",4400,4326,19994
3034,"ETRS89-extended / LCC Europe",4500,4258,19985
3035,"ETRS89-extended / LAEA Europe",4532,4258,19986
3036,"Moznet / UTM zone 36S",4400,4130,16136
3037,"Moznet / UTM zone 37S",4400,4130,16137
3040,"ETRS89 / UTM zone 28N (N-E)",4500,4258,16028
3041,"ETRS89 / UTM zone 29N (N-E)",4500,4258,16029
3042,"ETRS89 / UTM zone 30N (N-E)",4500,4258,16030
3043,"ETRS89 / UTM zone 31N (N-E)",4500,4258,16031
3044,"ETRS89 / UTM zone 32N (N-E)",4500,4258,16032
3045,"ETRS89 / UTM zone 33N (N-E)",4500,4258,16033
3046,"ETRS89 / UTM zone 34N (N-E)",4500,4258,16034
3047,"ETRS89 / UTM zone 35N (N-E)",4500,4258,16035
3048,"ETRS89 / UTM zone 36N (N-E)",4500,4258,16036
3049,"ETRS89 / UTM zone 37N (N-E)",4500,4258,16037
3052,"Reykjavik 1900 / Lambert 1900",4491,4657,19987
3053,"Hjorsey 1955 / Lambert 1955",4491,4658,19988
3054,"Hjorsey 1955 / UTM zone 26N",4400,4658,16026
3055,"Hjorsey 1955 / UTM zone 27N",4400,4658,16027
3056,"Hjorsey 1955 / UTM zone 28N",4400,4658,16028
3057,"ISN93 / Lambert 1993",4499,4659,19989
3058,"Helle 1954 / Jan Mayen Grid",4531,4660,19991
3059,"LKS-92 / Latvia TM",4530,4661,19990
3060,"IGN72 Grande Terre / UTM zone 58S",4400,4662,16158
3061,"Porto Santo 1995 / UTM zone 28N",4400,4663,16028
3062,"Azores Oriental 1995 / UTM zone 26N",4400,4664,16026
3063,"Azores Central 1995 / UTM zone 26N",4400,4665,16026
3064,"IGM95 / UTM zone 32N",4400,4670,16032
3065,"IGM95 / UTM zone 33N",4400,4670,16033
3066,"ED50 / Jordan TM",4400,4230,19995
3067,"ETRS89 / TM35FIN(E,N)",4400,4258,16065
3068,"DHDN / Soldner Berlin",4531,4314,19996
3069,"NAD27 / Wisconsin Transverse Mercator",4499,4267,14811
3070,"NAD83 / Wisconsin Transverse Mercator",4499,4269,14841
3071,"NAD83(HARN) / Wisconsin Transverse Mercator",4499,4152,14841
3072,"NAD83 / Maine CS2000 East",4499,4269,11851
3074,"NAD83 / Maine CS2000 West",4499,4269,11853
3075,"NAD83(HARN) / Maine CS2000 East",4499,4152,11851
3077,"NAD83(HARN) / Maine CS2000 West",4499,4152,11853
3078,"NAD83 / Michigan Oblique Mercator",4499,4269,12150
3079,"NAD83(HARN) / Michigan Oblique Mercator",4499,4152,12150
3080,"NAD27 / Shackleford",4495,4267,14252
3081,"NAD83 / Texas State Mapping System",4499,4269,14251
3082,"NAD83 / Texas Centric Lambert Conformal",4499,4269,14253
3083,"NAD83 / Texas Centric Albers Equal Area",4499,4269,14254
3084,"NAD83(HARN) / Texas Centric Lambert Conformal",4499,4152,14253
3085,"NAD83(HARN) / Texas Centric Albers Equal Area",4499,4152,14254
3086,"NAD83 / Florida GDL Albers",4499,4269,10934
3087,"NAD83(HARN) / Florida GDL Albers",4499,4152,10934
3088,"NAD83 / Kentucky Single Zone",4499,4269,11630
3089,"NAD83 / Kentucky Single Zone (ftUS)",4497,4269,15375
3090,"NAD83(HARN) / Kentucky Single Zone",4499,4152,11630
3091,"NAD83(HARN) / Kentucky Single Zone (ftUS)",4497,4152,15375
3092,"Tokyo / UTM zone 51N",4400,4301,16051
3093,"Tokyo / UTM zone 52N",4400,4301,16052
3094,"Tokyo / UTM zone 53N",4400,4301,16053
3095,"Tokyo / UTM zone 54N",4400,4301,16054
3096,"Tokyo / UTM zone 55N",4400,4301,16055
3097,"JGD2000 / UTM zone 51N",4400,4612,16051
3098,"JGD2000 / UTM zone 52N",4400,4612,16052
3099,"JGD2000 / UTM zone 53N",4400,4612,16053
3100,"JGD2000 / UTM zone 54N",4400,4612,16054
3101,"JGD2000 / UTM zone 55N",4400,4612,16055
3102,"American Samoa 1962 / American Samoa Lambert",4497,4169,15376
3106,"Gulshan 303 / TM 90 NE",4400,4682,16490
3107,"GDA94 / SA Lambert",4400,4283,17359
3108,"ETRS89 / Guernsey Grid",4400,4258,19998
3109,"ETRS89 / Jersey Transverse Mercator",4400,4258,19999
3110,"AGD66 / Vicgrid66",4400,4202,17360
3111,"GDA94 / Vicgrid",4400,4283,17361
3112,"GDA94 / Geoscience Australia Lambert",4400,4283,17362
3113,"GDA94 / BCSG02",4400,4283,17363
3114,"MAGNA-SIRGAS / Colombia Far West zone",4500,4686,18055
3115,"MAGNA-SIRGAS / Colombia West zone",4500,4686,18056
3116,"MAGNA-SIRGAS / Colombia Bogota zone",4500,4686,18057
3117,"MAGNA-SIRGAS / Colombia East Central zone",4500,4686,18058
3118,"MAGNA-SIRGAS / Colombia East zone",4500,4686,18059
3119,"Douala 1948 / AEF west",4400,4192,18415
3120,"Pulkovo 1942(58) / Poland zone I",4530,4179,18280
3121,"PRS92 / Philippines zone 1",4499,4683,18171
3122,"PRS92 / Philippines zone 2",4499,4683,18172
3123,"PRS92 / Philippines zone 3",4499,4683,18173
3124,"PRS92 / Philippines zone 4",4499,4683,18174
3125,"PRS92 / Philippines zone 5",4499,4683,18175
3126,"ETRS89 / ETRS-GK19FIN",4500,4258,18183
3127,"ETRS89 / ETRS-GK20FIN",4500,4258,18184
3128,"ETRS89 / ETRS-GK21FIN",4500,4258,18185
3129,"ETRS89 / ETRS-GK22FIN",4500,4258,18186
3130,"ETRS89 / ETRS-GK23FIN",4500,4258,18187
3131,"ETRS89 / ETRS-GK24FIN",4500,4258,18188
3132,"ETRS89 / ETRS-GK25FIN",4500,4258,18189
3133,"ETRS89 / ETRS-GK26FIN",4500,4258,18190
3134,"ETRS89 / ETRS-GK27FIN",4500,4258,18195
3135,"ETRS89 / ETRS-GK28FIN",4500,4258,18196
3136,"ETRS89 / ETRS-GK29FIN",4500,4258,18197
3137,"ETRS89 / ETRS-GK30FIN",4500,4258,18198
3138,"ETRS89 / ETRS-GK31FIN",4500,4258,18199
3139,"Vanua Levu 1915 / Vanua Levu Grid",4533,4748,19878
3140,"Viti Levu 1912 / Viti Levu Grid",4533,4752,19879
3141,"Fiji 1956 / UTM zone 60S",4400,4721,16160
3142,"Fiji 1956 / UTM zone 1S",4400,4721,16101
3144,"FD54 / Faroe Lambert",1031,4741,19870
3145,"ETRS89 / Faroe Lambert",1031,4258,19870
3148,"Indian 1960 / UTM zone 48N",4400,4131,16048
3149,"Indian 1960 / UTM zone 49N",4400,4131,16049
3152,"ST74",4531,4619,19876
3153,"NAD83(CSRS) / BC Albers",4400,4617,19984
3154,"NAD83(CSRS) / UTM zone 7N",4400,4617,16007
3155,"NAD83(CSRS) / UTM zone 8N",4400,4617,16008
3156,"NAD83(CSRS) / UTM zone 9N",4400,4617,16009
3157,"NAD83(CSRS) / UTM zone 10N",4400,4617,16010
3158,"NAD83(CSRS) / UTM zone 14N",4400,4617,16014
3159,"NAD83(CSRS) / UTM zone 15N",4400,4617,16015
3160,"NAD83(CSRS) / UTM zone 16N",4400,4617,16016
3161,"NAD83 / Ontario MNR Lambert",4400,4269,19875
3162,"NAD83(CSRS) / Ontario MNR Lambert",4400,4617,19875
3163,"RGNC91-93 / Lambert New Caledonia",4499,4749,19981
3164,"ST87 Ouvea / UTM zone 58S",4400,4750,16158
3165,"NEA74 Noumea / Noumea Lambert",4499,4644,19873
3166,"NEA74 Noumea / Noumea Lambert 2",4499,4644,19874
3167,"Kertau (RSO) / RSO Malaya (ch)",4410,4751,19871
3168,"Kertau (RSO) / RSO Malaya (m)",4400,4751,19872
3169,"RGNC91-93 / UTM zone 57S",4400,4749,16157
3170,"RGNC91-93 / UTM zone 58S",4400,4749,16158
3171,"RGNC91-93 / UTM zone 59S",4400,4749,16159
3172,"IGN53 Mare / UTM zone 59S",4400,4641,16159
3173,"fk89 / Faroe Lambert FK89",1031,4753,19877
3174,"NAD83 / Great Lakes Albers",4499,4269,15397
3175,"NAD83 / Great Lakes and St Lawrence Albers",4499,4269,15398
3176,"Indian 1960 / TM 106 NE",4400,4131,16506
3177,"LGD2006 / Libya TM",4499,4754,18319
3178,"GR96 / UTM zone 18N",4400,4747,16018
3179,"GR96 / UTM zone 19N",4400,4747,16019
3180,"GR96 / UTM zone 20N",4400,4747,16020
3181,"GR96 / UTM zone 21N",4400,4747,16021
3182,"GR96 / UTM zone 22N",4400,4747,16022
3183,"GR96 / UTM zone 23N",4400,4747,16023
3184,"GR96 / UTM zone 24N",4400,4747,16024
3185,"GR96 / UTM zone 25N",4400,4747,16025
3186,"GR96 / UTM zone 26N",4400,4747,16026
3187,"GR96 / UTM zone 27N",4400,4747,16027
3188,"GR96 / UTM zone 28N",4400,4747,16028
3189,"GR96 / UTM zone 29N",4400,4747,16029
3190,"LGD2006 / Libya TM zone 5",4499,4754,18310
3191,"LGD2006 / Libya TM zone 6",4499,4754,18311
3192,"LGD2006 / Libya TM zone 7",4499,4754,18312
3193,"LGD2006 / Libya TM zone 8",4499,4754,18313
3194,"LGD2006 / Libya TM zone 9",4499,4754,18314
3195,"LGD2006 / Libya TM zone 10",4499,4754,18315
3196,"LGD2006 / Libya TM zone 11",4499,4754,18316
3197,"LGD2006 / Libya TM zone 12",4499,4754,18317
3198,"LGD2006 / Libya TM zone 13",4499,4754,18318
3199,"LGD2006 / UTM zone 32N",4400,4754,16032
3200,"FD58 / Iraq zone",4400,4132,19906
3201,"LGD2006 / UTM zone 33N",4400,4754,16033
3202,"LGD2006 / UTM zone 34N",4400,4754,16034
3203,"LGD2006 / UTM zone 35N",4400,4754,16035
3204,"WGS 84 / SCAR IMW SP19-20",4400,4326,17204
3205,"WGS 84 / SCAR IMW SP21-22",4400,4326,17205
3206,"WGS 84 / SCAR IMW SP23-24",4400,4326,17206
3207,"WGS 84 / SCAR IMW SQ01-02",4400,4326,17207
3208,"WGS 84 / SCAR IMW SQ19-20",4400,4326,17208
3209,"WGS 84 / SCAR IMW SQ21-22",4400,4326,17209
3210,"WGS 84 / SCAR IMW SQ37-38",4400,4326,17210
3211,"WGS 84 / SCAR IMW SQ39-40",4400,4326,17211
3212,"WGS 84 / SCAR IMW SQ41-42",4400,4326,17212
3213,"WGS 84 / SCAR IMW SQ43-44",4400,4326,17213
3214,"WGS 84 / SCAR IMW SQ45-46",4400,4326,17214
3215,"WGS 84 / SCAR IMW SQ47-48",4400,4326,17215
3216,"WGS 84 / SCAR IMW SQ49-50",4400,4326,17216
3217,"WGS 84 / SCAR IMW SQ51-52",4400,4326,17217
3218,"WGS 84 / SCAR IMW SQ53-54",4400,4326,17218
3219,"WGS 84 / SCAR IMW SQ55-56",4400,4326,17219
3220,"WGS 84 / SCAR IMW SQ57-58",4400,4326,17220
3221,"WGS 84 / SCAR IMW SR13-14",4400,4326,17221
3222,"WGS 84 / SCAR IMW SR15-16",4400,4326,17222
3223,"WGS 84 / SCAR IMW SR17-18",4400,4326,17223
3224,"WGS 84 / SCAR IMW SR19-20",4400,4326,17224
3225,"WGS 84 / SCAR IMW SR27-28",4400,4326,17225
3226,"WGS 84 / SCAR IMW SR29-30",4400,4326,17226
3227,"WGS 84 / SCAR IMW SR31-32",4400,4326,17227
3228,"WGS 84 / SCAR IMW SR33-34",4400,4326,17228
3229,"WGS 84 / SCAR IMW SR35-36",4400,4326,17229
3230,"WGS 84 / SCAR IMW SR37-38",4400,4326,17230
3231,"WGS 84 / SCAR IMW SR39-40",4400,4326,17231
3232,"WGS 84 / SCAR IMW SR41-42",4400,4326,17232
3233,"WGS 84 / SCAR IMW SR43-44",4400,4326,17233
3234,"WGS 84 / SCAR IMW SR45-46",4400,4326,17234
3235,"WGS 84 / SCAR IMW SR47-48",4400,4326,17235
3236,"WGS 84 / SCAR IMW SR49-50",4400,4326,17236
3237,"WGS 84 / SCAR IMW SR51-52",4400,4326,17237
3238,"WGS 84 / SCAR IMW SR53-54",4400,4326,17238
3239,"WGS 84 / SCAR IMW SR55-56",4400,4326,17239
3240,"WGS 84 / SCAR IMW SR57-58",4400,4326,17240
3241,"WGS 84 / SCAR IMW SR59-60",4400,4326,17241
3242,"WGS 84 / SCAR IMW SS04-06",4400,4326,17242
3243,"WGS 84 / SCAR IMW SS07-09",4400,4326,17243
3244,"WGS 84 / SCAR IMW SS10-12",4400,4326,17244
3245,"WGS 84 / SCAR IMW SS13-15",4400,4326,17245
3246,"WGS 84 / SCAR IMW SS16-18",4400,4326,17246
3247,"WGS 84 / SCAR IMW SS19-21",4400,4326,17247
3248,"WGS 84 / SCAR IMW SS25-27",4400,4326,17248
3249,"WGS 84 / SCAR IMW SS28-30",4400,4326,17249
3250,"WGS 84 / SCAR IMW SS31-33",4400,4326,17250
3251,"WGS 84 / SCAR IMW SS34-36",4400,4326,17251
3252,"WGS 84 / SCAR IMW SS37-39",4400,4326,17252
3253,"WGS 84 / SCAR IMW SS40-42",4400,4326,17253
3254,"WGS 84 / SCAR IMW SS43-45",4400,4326,17254
3255,"WGS 84 / SCAR IMW SS46-48",4400,4326,17255
3256,"WGS 84 / SCAR IMW SS49-51",4400,4326,17256
3257,"WGS 84 / SCAR IMW SS52-54",4400,4326,17257
3258,"WGS 84 / SCAR IMW SS55-57",4400,4326,17258
3259,"WGS 84 / SCAR IMW SS58-60",4400,4326,17259
3260,"WGS 84 / SCAR IMW ST01-04",4400,4326,17260
3261,"WGS 84 / SCAR IMW ST05-08",4400,4326,17261
3262,"WGS 84 / SCAR IMW ST09-12",4400,4326,17262
3263,"WGS 84 / SCAR IMW ST13-16",4400,4326,17263
3264,"WGS 84 / SCAR IMW ST17-20",4400,4326,17264
3265,"WGS 84 / SCAR IMW ST21-24",4400,4326,17265
3266,"WGS 84 / SCAR IMW ST25-28",4400,4326,17266
3267,"WGS 84 / SCAR IMW ST29-32",4400,4326,17267
3268,"WGS 84 / SCAR IMW ST33-36",4400,4326,17268
3269,"WGS 84 / SCAR IMW ST37-40",4400,4326,17269
3270,"WGS 84 / SCAR IMW ST41-44",4400,4326,17270
3271,"WGS 84 / SCAR IMW ST45-48",4400,4326,17271
3272,"WGS 84 / SCAR IMW ST49-52",4400,4326,17272
3273,"WGS 84 / SCAR IMW ST53-56",4400,4326,17273
3274,"WGS 84 / SCAR IMW ST57-60",4400,4326,17274
3275,"WGS 84 / SCAR IMW SU01-05",4471,4326,17275
3276,"WGS 84 / SCAR IMW SU06-10",4473,4326,17276
3277,"WGS 84 / SCAR IMW SU11-15",4474,4326,17277
3278,"WGS 84 / SCAR IMW SU16-20",4476,4326,17278
3279,"WGS 84 / SCAR IMW SU21-25",4477,4326,17279
3280,"WGS 84 / SCAR IMW SU26-30",4479,4326,17280
3281,"WGS 84 / SCAR IMW SU31-35",4480,4326,17281
3282,"WGS 84 / SCAR IMW SU36-40",4482,4326,17282
3283,"WGS 84 / SCAR IMW SU41-45",4483,4326,17283
3284,"WGS 84 / SCAR IMW SU46-50",4485,4326,17284
3285,"WGS 84 / SCAR IMW SU51-55",4486,4326,17285
3286,"WGS 84 / SCAR IMW SU56-60",4488,4326,17286
3287,"WGS 84 / SCAR IMW SV01-10",4472,4326,17287
3288,"WGS 84 / SCAR IMW SV11-20",4475,4326,17288
3289,"WGS 84 / SCAR IMW SV21-30",4478,4326,17289
3290,"WGS 84 / SCAR IMW SV31-40",4481,4326,17290
3291,"WGS 84 / SCAR IMW SV41-50",4484,4326,17291
3292,"WGS 84 / SCAR IMW SV51-60",4487,4326,17292
3293,"WGS 84 / SCAR IMW SW01-60",4490,4326,17293
3294,"WGS 84 / USGS Transantarctic Mountains",4400,4326,17294
3295,"Guam 1963 / Yap Islands",4499,4675,15399
3296,"RGPF / UTM zone 5S",4400,4687,16105
3297,"RGPF / UTM zone 6S",4400,4687,16106
3298,"RGPF / UTM zone 7S",4400,4687,16107
3299,"RGPF / UTM zone 8S",4400,4687,16108
3300,"Estonian Coordinate System of 1992",4530,4133,19938
3301,"Estonian Coordinate System of 1997",4530,4180,19938
3302,"IGN63 Hiva Oa / UTM zone 7S",4400,4689,16107
3303,"Fatu Iva 72 / UTM zone 7S",4400,4688,16107
3304,"Tahiti 79 / UTM zone 6S",4400,4690,16106
3305,"Moorea 87 / UTM zone 6S",4400,4691,16106
3306,"Maupiti 83 / UTM zone 5S",4400,4692,16105
3307,"Nakhl-e Ghanem / UTM zone 39N",4400,4693,16039
3308,"GDA94 / NSW Lambert",4400,4283,17364
3309,"NAD27 / California Albers",4499,4267,10420
3310,"NAD83 / California Albers",4499,4269,10420
3311,"NAD83(HARN) / California Albers",4499,4152,10420
3312,"CSG67 / UTM zone 21N",4400,4623,16021
3313,"RGFG95 / UTM zone 21N",4400,4624,16021
3316,"Kasai 1953 / Congo TM zone 22",4400,4696,17422
3317,"Kasai 1953 / Congo TM zone 24",4400,4696,17424
3318,"IGC 1962 / Congo TM zone 12",4400,4697,17412
3319,"IGC 1962 / Congo TM zone 14",4400,4697,17414
3320,"IGC 1962 / Congo TM zone 16",4400,4697,17416
3321,"IGC 1962 / Congo TM zone 18",4400,4697,17418
3322,"IGC 1962 / Congo TM zone 20",4400,4697,17420
3323,"IGC 1962 / Congo TM zone 22",4400,4697,17422
3324,"IGC 1962 / Congo TM zone 24",4400,4697,17424
3325,"IGC 1962 / Congo TM zone 26",4400,4697,17426
3326,"IGC 1962 / Congo TM zone 28",4400,4697,17428
3327,"IGC 1962 / Congo TM zone 30",4400,4697,17430
3328,"Pulkovo 1942(58) / GUGiK-80",4530,4179,18286
3329,"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 5",4530,4179,16265
3330,"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 6",4530,4179,16266
3331,"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 7",4530,4179,16267
3332,"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 8",4530,4179,16268
3333,"Pulkovo 1942(58) / Gauss-Kruger zone 3",4530,4179,16203
3334,"Pulkovo 1942(58) / Gauss-Kruger zone 4",4530,4179,16204
3335,"Pulkovo 1942(58) / Gauss-Kruger zone 5",4530,4179,16205
3336,"IGN 1962 Kerguelen / UTM zone 42S",4400,4698,16142
3337,"Le Pouce 1934 / Mauritius Grid",4400,4699,19899
3338,"NAD83 / Alaska Albers",4499,4269,15021
3339,"IGCB 1955 / Congo TM zone 12",4400,4701,17412
3340,"IGCB 1955 / Congo TM zone 14",4400,4701,17414
3341,"IGCB 1955 / Congo TM zone 16",4400,4701,17416
3342,"IGCB 1955 / UTM zone 33S",4400,4701,16133
3343,"Mauritania 1999 / UTM zone 28N",4400,4702,16028
3344,"Mauritania 1999 / UTM zone 29N",4400,4702,16029
3345,"Mauritania 1999 / UTM zone 30N",4400,4702,16030
3346,"LKS94 / Lithuania TM",4530,4669,19934
3347,"NAD83 / Statistics Canada Lambert",4400,4269,19897
3348,"NAD83(CSRS) / Statistics Canada Lambert",4400,4617,19897
3350,"Pulkovo 1942 / CS63 zone C0",4530,4284,18450
3351,"Pulkovo 1942 / CS63 zone C1",4530,4284,18451
3352,"Pulkovo 1942 / CS63 zone C2",4530,4284,18452
3353,"Mhast (onshore) / UTM zone 32S",4400,4704,16132
3354,"Mhast (offshore) / UTM zone 32S",4400,4705,16132
3355,"Egypt Gulf of Suez S-650 TL / Red Belt",4400,4706,18072
3358,"NAD83(HARN) / North Carolina",4499,4152,13230
3360,"NAD83(HARN) / South Carolina",4499,4152,13930
3361,"NAD83(HARN) / South Carolina (ft)",4495,4152,15355
3362,"NAD83(HARN) / Pennsylvania North",4499,4152,13731
3363,"NAD83(HARN) / Pennsylvania North (ftUS)",4497,4152,15353
3364,"NAD83(HARN) / Pennsylvania South",4499,4152,13732
3365,"NAD83(HARN) / Pennsylvania South (ftUS)",4497,4152,15354
3367,"IGN Astro 1960 / UTM zone 28N",4400,4700,16028
3368,"IGN Astro 1960 / UTM zone 29N",4400,4700,16029
3369,"IGN Astro 1960 / UTM zone 30N",4400,4700,16030
3370,"NAD27 / UTM zone 59N",4400,4267,16059
3371,"NAD27 / UTM zone 60N",4400,4267,16060
3372,"NAD83 / UTM zone 59N",4400,4269,16059
3373,"NAD83 / UTM zone 60N",4400,4269,16060
3374,"FD54 / UTM zone 29N",4400,4741,16029
3375,"GDM2000 / Peninsula RSO",4400,4742,19895
3376,"GDM2000 / East Malaysia BRSO",4400,4742,19894
3377,"GDM2000 / Johor Grid",4400,4742,19893
3378,"GDM2000 / Sembilan and Melaka Grid",4400,4742,19892
3379,"GDM2000 / Pahang Grid",4400,4742,19891
3380,"GDM2000 / Selangor Grid",4400,4742,19890
3381,"GDM2000 / Terengganu Grid",4400,4742,19889
3382,"GDM2000 / Pinang Grid",4400,4742,19888
3383,"GDM2000 / Kedah and Perlis Grid",4400,4742,19887
